,postalcode,price,year,area,rooms,type
146265,221,95000000,2001,259,4,2
146266,800,48500000,1977,198,3,2
146267,101,57000000,1943,92,1,0
146268,101,55500000,2006,90,2,0
146269,270,46800000,2020,83,2,0
146270,105,59000000,1958,116,2,0
146271,102,90000000,1932,206,5,2
146272,603,31900000,1978,89,2,1
146273,200,74900000,2019,126,3,0
146275,200,37500000,1973,69,2,0
146276,620,14000000,1962,163,3,1
146283,200,62400000,2019,119,3,0
146284,112,47300000,1992,130,3,0
146285,800,27500000,2019,60,1,0
146286,102,55900000,2020,88,2,0
146289,800,27500000,2019,60,1,0
146293,410,14000000,1927,130,3,2
146294,112,56500000,1999,120,3,0
146295,450,33000000,1973,143,3,2
146296,110,54700000,1986,117,3,0
146297,113,57000000,2004,128,3,0
146299,270,46100000,2020,84,2,0
146300,101,49500000,1922,92,2,0
146301,201,52900000,2001,111,3,0
146302,200,53400000,2020,99,2,0
146304,300,47500000,2018,99,2,0
146305,300,38200000,2005,102,2,0
146306,300,63900000,2007,129,2,1
146308,810,34800000,2020,75,2,0
146309,810,35900000,2020,75,1,0
146310,810,33400000,2020,68,2,0
146311,200,48900000,1980,93,3,0
146313,200,47700000,1973,100,2,0
146314,815,45000000,2005,171,3,2
146315,230,16500000,1931,45,1,0
146316,260,57500000,2008,167,3,1
146317,270,42600000,1990,114,5,0
146318,550,22000000,1958,95,4,0
146319,270,59500000,1990,112,2,1
146320,810,34700000,2020,68,1,0
146321,230,35500000,2021,70,1,0
146323,240,37000000,2007,119,3,0
146324,230,66000000,2001,221,3,2
146325,245,18300000,1954,72,2,0
146326,110,75500000,2007,155,3,0
146327,810,34200000,2020,68,2,0
146328,810,34700000,2020,68,1,0
146329,810,32900000,2020,68,2,0
146330,810,35900000,2020,75,2,0
146331,112,86900000,1992,260,5,0
146332,640,43500000,1953,290,8,2
146334,580,26200000,1955,112,2,0
146335,101,89900000,1943,198,6,0
146336,107,75000000,1960,132,2,0
146337,201,59300000,2020,100,2,0
146338,210,95000000,1987,308,6,1
146339,270,45400000,2020,84,2,0
146341,201,70975000,2020,137,3,0
146344,201,55900000,1994,106,3,0
146345,113,68000000,2017,144,3,0
146346,105,39000000,1963,75,1,0
146347,201,69800000,1995,165,5,0
146353,110,38500000,1983,75,1,0
146354,201,49800000,1996,101,2,0
146356,112,51400000,1989,107,3,0
